CODE;price;old price;ostatok
94708;43490;;0
94709;27390;31950.00;0
94710;35960;41950.00;0
94712;49980;58310.00;0
94713;29980;34980.00;0
94714;58200;67900.00;0
94780;45981;;777777
94790;125010;195325.00;1
94791;131760;205875.00;7
94792;123120;192375.00;2
94845;79920;;0
94850;67203;;777777
94852;30949;;777777
94853;30949;;777777
94865;74500;;777777
94942;134220;209715.00;0
94944;27060;42275.00;2
94946;25185;39350.00;7
94947;28195;44050.00;18
95907;44600;;0
95909;43300;;0
95911;37800;;0
95928;33500;;0
95929;46200;;0
95940;24900;;0
95956;23000;;0
96065;19190;;0
96267;39480;;0
96270;35640;;0
96275;17990;;50
96468;29900;;0
96521;9513;;0
96531;32253;;0
97183;37985;;6
97367;13620;;0
97381;13990;;0
97382;21990;;0
97390;11990;;75
97391;15990;;3
97693;14990;;0
97694;18990;;9
97695;11999;;52
97697;16599;;44
97699;22599;;13
97701;30999;;4
97759;2897;;0
97761;7200;;0
97923;16500;;0
98323;8331;;12
98326;25550;;777777
98327;30200;;0
98329;28650;;0
98330;18000;;0
98331;27500;;777777
98332;40500;;777777
98333;31150;;0
98334;45100;;0
98335;28412;;0
98339;25023;;16
98341;18520;30861.00;16
98342;38246;;6
98348;30596;;16
98773;28210;;42
98774;36150;;11
98775;27470;;34
98776;28260;;0
98789;30120;;0
98790;31930;;0
98791;21996;;0
99424;95500;;0
99426;9420;;0
99428;28450;;0
99429;21750;;0
99431;79160;;0
99432;25750;;777777
99433;33050;;777777
99434;43950;120900.00;0
99435;32820;;0
99437;93450;;0
99438;18170;;0
99439;33000;;0
99440;10590;;0
99441;15040;;0
99442;8350;;0
99446;13520;;0
99447;20510;;0
99451;12990;;0
99454;40280;;0
99456;20800;;777777
99460;10580;;0
99463;45300;;0
99466;67950;;777777
99468;18160;;0
99470;86360;;0
99471;5840;;0
99472;5840;;0
99473;66620;;0
99476;113370;;0
99478;58900;;0
99481;184350;;777777
99482;116200;;0
99483;76750;;777777
99484;94250;;777777
99485;11830;;0
99486;17070;;0
99488;22180;;0
99489;18550;;0
100417;62400;;777777
100419;49920;;777777
100421;109850;;777777
100790;7290;;3
100791;7850;12590.00;0
100792;18990;;0
100795;22790;;22
100796;74590;;0
101272;13189;;21
101282;74122;;0
101283;103158;;1
101289;22500;59700.00;0
101304;137990;;22
101335;22200;;0
101337;28800;;0
101348;8550;;10
101350;12700;;10
101352;16600;;10
101564;11900;;0
101740;46200;;12
101741;83500;;14
101742;11700;;1
101743;15100;;0
101744;19500;;1
101745;19500;;0
101755;67900;;6
101756;27800;;11
101757;42900;;18
101768;2700;;0
101775;25200;;18
101776;33600;;3
101779;22400;;33
101780;28400;;16
101781;21300;;3
101782;27000;;0
101785;41900;;14
101787;42100;;13
101788;51400;;7
101789;22700;;23
101790;30600;;18
101791;17800;26400.00;0
101792;23000;;0
101795;51400;;18
101796;78200;;7
101797;28200;;0
101798;37400;;0
101799;20200;38300.00;3
101805;55900;;8
101806;29700;;10
101807;36700;;13
101813;14500;;0
102138;12900;;1
103478;88425;;777777
103482;115440;;777777
103486;88800;;777777
